brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,display_size,warranty,Touchscreen,msoffice,latest_price,old_price,discount,star_rating,ratings,reviews,link
DELL,Inspiron,Intel,Core i3,11th,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14.96,0,No,No,41990,57670,27,4.2,216,21,https://www.flipkart.com/dell-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-new-inspiron-15-laptop-thin-light/p/itm06ea674a3bd5b?pid=COMGJ75HCCFJS8AE&lid=LSTCOMGJ75HCCFJS8AELVN77K&marketplace=FLIPKART&q=DELL+Inspiron+Intel+Core+i3+11th+DDR4&store=6bo%2Fb5g&srno=s_1_1&otracker=search&fm=organic&iid=4a8c299f-3d12-4a1e-b1a3-68c0cf475840.COMGJ75HCCFJS8AE.SEARCH&ppt=None&ppn=None&ssid=3jpejiaf0w0000001704463799290&qH=ce8ffce19fd6df22
Lenovo,Ideapad,Intel,Core i3,11th,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,1,No,Yes,41990,57290,26,4.4,1084,160,https://www.flipkart.com/lenovo-ideapad-slim-3-intel-core-i3-11th-gen-8-gb-256-gb-ssd-windows-11-home-15itl6-thin-light-laptop/p/itm2f89fa5fe05df?pid=COMGAGRYXAWSHSRM&lid=LSTCOMGAGRYXAWSHSRMH2NQTD&marketplace=FLIPKART&q=Lenovo+Ideapad+Intel+Core+i3+11th+DDR4&store=6bo%2Fb5g&srno=s_1_1&otracker=search&fm=organic&iid=c051d747-7bbc-45a1-9589-7fcd0805109b.COMGAGRYXAWSHSRM.SEARCH&ppt=None&ppn=None&ssid=njpcekv7m80000001704463800087&qH=207cb664fb266e84
Infinix,INBook,Intel,Core i3,10th,8 GB GB,LPDDR4X,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,32990,49999,34,4.3,1221,265,https://www.flipkart.com/infinix-inbook-y2-plus-intel-core-i3-11th-gen-1115g4-8-gb-512-gb-ssd-windows-11-home-xl29-thin-light-laptop/p/itmcf13c7e0b0c78?pid=COMGVJ7HZ8GQFUUP&lid=LSTCOMGVJ7HZ8GQFUUP1BBZBN&marketplace=FLIPKART&q=Infinix+INBook+Intel+Core+i3+10th+LPDDR4X&store=6bo%2Fb5g&srno=s_1_1&otracker=search&fm=organic&iid=026cee89-aa55-44d0-bd55-836b4c37b1d0.COMGVJ7HZ8GQFUUP.SEARCH&ppt=None&ppn=None&ssid=th6l16l9ao0000001704463800763&qH=1674818a61db7cbc
ASUS,VivoBook,Intel,Core i3,11th,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,15.6,1,No,No,38490,51990,25,3.8,19,3,https://www.flipkart.com/asus-vivobook-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-x1504za-nj325ws-laptop/p/itm7480082770d25?pid=COMGSYYP2HCRAPCS&lid=LSTCOMGSYYP2HCRAPCSFPIJGB&marketplace=FLIPKART&q=ASUS+VivoBook+Intel+Core+i3+11th+DDR4&store=6bo%2Fb5g&srno=s_1_1&otracker=search&fm=organic&iid=ed99bc9b-dbb9-4eb5-b4f9-ef665ccb5fd2.COMGSYYP2HCRAPCS.SEARCH&ppt=None&ppn=None&ssid=oon06erdkg0000001704463801477&qH=c7cbf7cc3db19bef
Lenovo,Missing,Intel,Core i3,11th,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,15,1,No,Yes,38990,51544,24,4.4,106,13,https://www.flipkart.com/lenovo-ideapad-slim-3-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-14iau7-thin-light-laptop/p/itmca7973cead2b8?pid=COMGP24QHAAUK7JE&lid=LSTCOMGP24QHAAUK7JEAN19JO&marketplace=FLIPKART&q=Lenovo+Missing+Intel+Core+i3+11th+DDR4&store=6bo%2Fb5g&srno=s_1_1&otracker=search&fm=organic&iid=c4d28c98-c662-4aae-9143-5be460720124.COMGP24QHAAUK7JE.SEARCH&ppt=None&ppn=None&ssid=vqc0ypw7a80000001704463802846&qH=f22a9d35d546e63c
Lenovo,ThinkPad,Intel,Core i3,11th,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,15.6,1,No,Yes,44990,59239,24,4.1,42,4,https://www.flipkart.com/lenovo-thinkpad-intel-core-i5-10th-gen-10210u-8-gb-512-gb-hdd-512-ssd-windows-10-pro-t14-thin-light-laptop/p/itm7d4696b190808?pid=COMG2PZ3YFH4C897&lid=LSTCOMG2PZ3YFH4C897QA0ZL9&marketplace=FLIPKART&q=Lenovo+ThinkPad+Intel+Core+i3+11th+DDR4&store=6bo%2Fb5g&srno=s_1_1&otracker=search&fm=organic&iid=8411159a-2d6c-4770-a581-4ff3b8ec50bb.COMG2PZ3YFH4C897.SEARCH&ppt=None&ppn=None&ssid=azb5sjv3gw0000001704463804253&qH=7b28cb6824b737f9
Lenovo,IdeaPad,Intel,Core i3,10th,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,36490,53790,32,0.0,0,0,Not Found
Lenovo,Missing,Intel,Core i3,10th,8 GB GB,DDR4,256 GB,0 GB,Windows,32-bit,0,Casual,15.6,0,No,No,38970,56590,31,0.0,0,0,https://www.flipkart.com/lenovo-ideapad-slim-3-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-14iau7-thin-light-laptop/p/itmca7973cead2b8?pid=COMGP24QHAAUK7JE&lid=LSTCOMGP24QHAAUK7JEAN19JO&marketplace=FLIPKART&q=Lenovo+Missing+Intel+Core+i3+10th+DDR4&store=6bo%2Fb5g&srno=s_1_1&otracker=search&fm=organic&iid=2551330a-814d-44e2-bbe2-d638703ca5fa.COMGP24QHAAUK7JE.SEARCH&ppt=None&ppn=None&ssid=3c6t8pyebk0000001704463805518&qH=c5a00e9c0e3170ce
HP,Missing,Intel,Core i3,11th,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,44900,51000,11,4.2,1029,107,https://www.flipkart.com/hp-intel-core-i3-11th-gen-1115g4-8-gb-256-gb-ssd-windows-11-home-14s-dy2507tu-thin-light-laptop/p/itm3c618978e7a4d?pid=COMGG63H9BFFUYVY&lid=LSTCOMGG63H9BFFUYVYFHH552&marketplace=FLIPKART&q=HP+Missing+Intel+Core+i3+11th+DDR4&store=6bo%2Fb5g&srno=s_1_1&otracker=search&fm=organic&iid=610b5ddd-4b8c-4afd-9940-85a913046abd.COMGG63H9BFFUYVY.SEARCH&ppt=None&ppn=None&ssid=r3o5fe6zi80000001704463806203&qH=80a3b72439c2b1fa
MSI,Missing,Intel,Core i3,10th,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,0,No,No,38990,53900,27,4.5,53,11,Not Found
DELL,Vostro,Intel,Core i3,11th,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,0,No,No,44427,0,0,0.0,0,0,https://www.flipkart.com/dell-vostro-intel-core-i3-11th-gen-1115g4-8-gb-1-tb-hdd-256-gb-ssd-windows-11-home-3510-thin-light-laptop/p/itmb5ec4a0058146?pid=COMGH53NQJHWAYP7&lid=LSTCOMGH53NQJHWAYP7OGK7JT&marketplace=FLIPKART&q=DELL+Vostro+Intel+Core+i3+11th+DDR4&store=6bo%2Fb5g&srno=s_1_1&otracker=search&fm=organic&iid=3a4fb002-936e-41c8-b2e1-c041824f29f0.COMGH53NQJHWAYP7.SEARCH&ppt=None&ppn=None&ssid=cy3wokynnk0000001704463807392&qH=868e4164134b7253
ASUS,VivoBook,Intel,Core i3,10th,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,Missing,1,No,No,35990,46990,23,0.0,0,0,https://www.flipkart.com/asus-vivobook-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-x1504za-nj325ws-laptop/p/itm7480082770d25?pid=COMGSYYP2HCRAPCS&lid=LSTCOMGSYYP2HCRAPCSFPIJGB&marketplace=FLIPKART&q=ASUS+VivoBook+Intel+Core+i3+10th+DDR4&store=6bo%2Fb5g&srno=s_1_1&otracker=search&fm=organic&iid=527a588d-55a7-4bb6-9782-d7ddd6cfc207.COMGSYYP2HCRAPCS.SEARCH&ppt=None&ppn=None&ssid=dqx16xfps00000001704463808860&qH=f58f5a1c58d06756
Lenovo,Ideapad,Intel,Core i3,10th,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,Missing,1,No,Yes,40200,49999,19,3.9,48,1,https://www.flipkart.com/lenovo-ideapad-slim-3-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-14iau7-thin-light-laptop/p/itmca7973cead2b8?pid=COMGP24QHAAUK7JE&lid=LSTCOMGP24QHAAUK7JEAN19JO&marketplace=FLIPKART&q=Lenovo+Ideapad+Intel+Core+i3+10th+DDR4&store=6bo%2Fb5g&srno=s_1_1&otracker=search&fm=organic&iid=8ef7332e-b31f-478a-86eb-2c816e82bcc9.COMGP24QHAAUK7JE.SEARCH&ppt=None&ppn=None&ssid=o8mh0u8swg0000001704463809651&qH=89ed6a6e5a386289
Lenovo,Missing,Intel,Core i3,10th,4 GB GB,DDR4,256 GB,0 GB,Windows,32-bit,0,Casual,Missing,0,No,No,40990,56800,27,3.7,3,0,Not Found
DELL,Inspiron,Intel,Core i3,10th,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,No,42490,54723,22,0.0,0,0,https://www.flipkart.com/dell-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-new-inspiron-15-laptop-thin-light/p/itm06ea674a3bd5b?pid=COMGJ75HCCFJS8AE&lid=LSTCOMGJ75HCCFJS8AELVN77K&marketplace=FLIPKART&q=DELL+Inspiron+Intel+Core+i3+10th+DDR4&store=6bo%2Fb5g&srno=s_1_1&otracker=search&fm=organic&iid=9ed57326-9a9d-4d50-b7e2-15c4a509230f.COMGJ75HCCFJS8AE.SEARCH&ppt=None&ppn=None&ssid=3y80hh2vxc0000001704463810794&qH=bc466e13b44c9baa
realme,Book,Intel,Core i3,11th,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,47999,54999,12,4.4,6352,1014,https://www.flipkart.com/realme-book-slim-intel-core-i3-11th-gen-1115g4-8-gb-256-gb-ssd-windows-10-home-rmnb1001-thin-light-laptop/p/itma836bc7914a97?pid=COMG5YDPYEB7ZAKK&lid=LSTCOMG5YDPYEB7ZAKKVEOVUY&marketplace=FLIPKART&q=realme+Book+Intel+Core+i3+11th+DDR4&store=6bo%2Fb5g&srno=s_1_1&otracker=search&fm=organic&iid=2954688a-a2ea-4de0-864a-72efbae09c2e.COMG5YDPYEB7ZAKK.SEARCH&ppt=None&ppn=None&ssid=3x1hl8sgzk0000001704463811597&qH=70efc0bb8867beab
acer,Chromebook,Intel,Celeron Dual,Missing,4 GB GB,DDR4,0 GB,512 GB,Windows,32-bit,0,Casual,Missing,0,No,No,23990,27000,11,3.3,61,4,https://www.flipkart.com/acer-intel-celeron-dual-core-n4500-8-gb-128-gb-ssd-chrome-os-cb314-3h-c5qe-chromebook/p/itmf7e8ce733eb56?pid=COMGSV3G3RYBAHX4&lid=LSTCOMGSV3G3RYBAHX4EEGVFD&marketplace=FLIPKART&q=acer+Chromebook+Intel+Celeron+Dual+Missing+DDR4&store=6bo%2Fb5g&srno=s_1_1&otracker=search&fm=organic&iid=en_gtimlm7YeadTeSwZLgTp_8C61xQ7AZ34QgkRlW8hdQ8R1W4KnDDKBg8BK7EHDlTlG_IJWpgbkbNUsTpao0ADDA%3D%3D&ppt=None&ppn=None&ssid=zyg7qp4o0g0000001704463812754&qH=3e801538552d3fce
DELL,Missing,Intel,Core i3,11th,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,Missing,0,Yes,No,71999,72246,0,4.3,97,13,https://www.flipkart.com/dell-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-new-inspiron-15-laptop-thin-light/p/itm06ea674a3bd5b?pid=COMGJ75HCCFJS8AE&lid=LSTCOMGJ75HCCFJS8AELVN77K&marketplace=FLIPKART&q=DELL+Missing+Intel+Core+i3+11th+DDR4&store=6bo%2Fb5g&srno=s_1_1&otracker=search&fm=organic&iid=441ce997-e48f-4b27-ada2-d995f8128a45.COMGJ75HCCFJS8AE.SEARCH&ppt=None&ppn=None&ssid=hb7lfdwyxs0000001704463814668&qH=747653d77f957169
ASUS,VivoBook,Intel,Core i3,11th,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,Missing,1,No,No,39990,52990,24,4.4,181,19,Not Found
Lenovo,IdeaPad,Intel,Core i3,10th,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,Missing,1,No,Yes,41998,56590,25,4.4,529,39,Not Found
ASUS,Missing,Intel,Core i3,11th,4 GB GB,DDR4,256 GB,0 GB,Windows,32-bit,0,Casual,Missing,0,No,No,41990,52990,20,0.0,0,0,https://www.flipkart.com/asus-vivobook-15-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-x1502za-ej953ws-thin-light-laptop/p/itm3b11f9400fcd8?pid=COMGZKHQ8BXZFBUT&lid=LSTCOMGZKHQ8BXZFBUTEXWMPL&marketplace=FLIPKART&q=ASUS+Missing+Intel+Core+i3+11th+DDR4&store=6bo%2Fb5g&srno=s_1_1&otracker=search&fm=organic&iid=a6835405-504f-49d6-9e4a-6583be4e11a8.COMGZKHQ8BXZFBUT.SEARCH&ppt=None&ppn=None&ssid=mrbrnpon740000001704463816465&qH=64b27b79c849c43e
Lenovo,Ideapad,Intel,Core i3,10th,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,Missing,2,No,Yes,39999,59999,33,0.0,0,0,https://www.flipkart.com/lenovo-ideapad-slim-3-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-14iau7-thin-light-laptop/p/itmca7973cead2b8?pid=COMGP24QHAAUK7JE&lid=LSTCOMGP24QHAAUK7JEAN19JO&marketplace=FLIPKART&q=Lenovo+Ideapad+Intel+Core+i3+10th+DDR4&store=6bo%2Fb5g&srno=s_1_1&otracker=search&fm=organic&iid=19b6bf4d-bf5f-4d4b-9e59-2c21471ac269.COMGP24QHAAUK7JE.SEARCH&ppt=None&ppn=None&ssid=d43dan98r40000001704463817178&qH=89ed6a6e5a386289
ASUS,Commercial,Intel,Core i3,10th,4 GB GB,DDR4,256 GB,0 GB,Windows,32-bit,0,Casual,Missing,0,No,No,39990,47990,16,0.0,0,0,https://www.flipkart.com/asus-vivobook-15-intel-core-i3-11th-gen-1115g4-16-gb-512-gb-ssd-windows-11-home-x515ea-ej342ws-thin-light-laptop/p/itm657040ef2c126?pid=COMGZ3MYJ2Z22ZAS&lid=LSTCOMGZ3MYJ2Z22ZAS52GLA0&marketplace=FLIPKART&q=ASUS+Commercial+Intel+Core+i3+10th+DDR4&store=6bo%2Fb5g&srno=s_1_1&otracker=search&fm=organic&iid=2cbcff54-061e-4d6d-b67b-85f712c78407.COMGZ3MYJ2Z22ZAS.SEARCH&ppt=None&ppn=None&ssid=zkvqcmu7w00000001704463818573&qH=456202acb2cb21a5
Lenovo,Ideapad,Intel,Core i3,11th,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,Missing,0,No,No,39998,60090,33,4.2,10,1,https://www.flipkart.com/lenovo-ideapad-slim-3-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-14iau7-thin-light-laptop/p/itmca7973cead2b8?pid=COMGP24QHAAUK7JE&lid=LSTCOMGP24QHAAUK7JEAN19JO&marketplace=FLIPKART&q=Lenovo+Ideapad+Intel+Core+i3+11th+DDR4&store=6bo%2Fb5g&srno=s_1_1&otracker=search&fm=organic&iid=dc040d37-c1d6-4d5a-ae25-bf769b674c01.COMGP24QHAAUK7JE.SEARCH&ppt=None&ppn=None&ssid=oooh4973ow0000001704463819356&qH=207cb664fb266e84
HP,14s,Intel,Core i3,11th,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,42490,45892,7,4.4,5205,561,https://www.flipkart.com/hp-14s-intel-core-i3-11th-gen-1125g4-8-gb-256-gb-ssd-windows-11-home-14s-dy2506tu-thin-light-laptop/p/itm2881998a7e9de?pid=COMG92FXHPYEN44H&lid=LSTCOMG92FXHPYEN44H4P5BZH&marketplace=FLIPKART&q=HP+14s+Intel+Core+i3+11th+DDR4&store=6bo%2Fb5g&srno=s_1_1&otracker=search&fm=organic&iid=413b831c-8bcd-40b1-bf50-ffa888d16b60.COMG92FXHPYEN44H.SEARCH&ppt=None&ppn=None&ssid=s1grvxzn1s0000001704463820354&qH=a93fe03aadb50ec9
